horizon,update_regime,round,scenario,estimate,ci_low,ci_high,relative_ratio_percent,n
12,fixed_budget_history_replay,3,strong_premium_penalty,0.008991619494473406,0.005249615967348953,0.012769314751431473,0.9032165538794292,50
12,fixed_budget_history_replay,3,zero,0.0,0.0,0.0,0.0,50
12,fixed_budget_history_replay,4,ai_appreciation,-0.003194861981359165,-0.007095869284752617,0.001332815375812755,-0.3189763840549791,50
12,fixed_budget_history_replay,4,moderate_asymmetric,0.007178908465712102,0.0035499972766435484,0.01227490424113479,0.7204738602826153,50
12,fixed_budget_history_replay,4,strong_premium_penalty,0.013615096733228728,0.008613407979999871,0.01831886653801513,1.3708204238791637,50
12,fixed_budget_history_replay,4,zero,0.0,0.0,0.0,0.0,50
12,fixed_budget_history_replay,5,ai_appreciation,-0.00415015162993839,-0.009258479776054597,0.0013231935669995312,-0.41415516518470963,50
12,fixed_budget_history_replay,5,moderate_asymmetric,0.00911941854221253,0.002992411902884444,0.01626473218729501,0.9161127129096992,50
12,fixed_budget_history_replay,5,strong_premium_penalty,0.017469017255469062,0.010402735614810431,0.024957395009011965,1.762249292460616,50
12,fixed_budget_history_replay,5,zero,0.0,0.0,0.0,0.0,50
12,fixed_budget_history_replay,6,ai_appreciation,-0.005296784746607851,-0.011160872704025644,0.0009258050374278892,-0.5282781517221807,50
12,fixed_budget_history_replay,6,moderate_asymmetric,0.01150637582143999,0.0036456647532650947,0.02022829694592982,1.1572828796767842,50
12,fixed_budget_history_replay,6,strong_premium_penalty,0.021632477088895485,0.013636035101989396,0.031054541805898478,2.1868155489267607,50
12,fixed_budget_history_replay,6,zero,0.0,0.0,0.0,0.0,50
12,fixed_budget_history_replay,7,ai_appreciation,-0.00654029447482612,-0.014277642292248123,0.0011852994627587485,-0.6518953300119743,50
12,fixed_budget_history_replay,7,moderate_asymmetric,0.013022372356914044,0.004718288157203403,0.022488153877035275,1.3107532709583651,50
12,fixed_budget_history_replay,7,strong_premium_penalty,0.025775428206949717,0.015702462941271665,0.0361449047036374,2.6110487124890205,50
12,fixed_budget_history_replay,7,zero,0.0,0.0,0.0,0.0,50
12,fixed_budget_history_replay,8,ai_appreciation,-0.007275981036285903,-0.014988610047621887,0.0020841153554399918,-0.7249575167943851,50
12,fixed_budget_history_replay,8,moderate_asymmetric,0.015593701705102965,0.00538390181331769,0.02551002811449516,1.5715917912860953,50
12,fixed_budget_history_replay,8,strong_premium_penalty,0.029740158423752418,0.01689842205720868,0.04173469137990315,3.018681380708165,50
12,fixed_budget_history_replay,8,zero,0.0,0.0,0.0,0.0,50
12,fixed_budget_history_replay,9,ai_appreciation,-0.008540991806341922,-0.01854936519449591,0.0016773380145819468,-0.850462115662195,50
12,fixed_budget_history_replay,9,moderate_asymmetric,0.017961920031537994,0.0066464937247814665,0.029415073210464472,1.8124205513965204,50
12,fixed_budget_history_replay,9,strong_premium_penalty,0.03331048479035556,0.018537108247614592,0.04792230306464834,3.387149078651196,50
12,fixed_budget_history_replay,9,zero,0.0,0.0,0.0,0.0,50
12,fixed_budget_history_replay,10,ai_appreciation,-0.010597653462801537,-0.02035684065590941,0.0003998479935505974,-1.054169617975567,50
12,fixed_budget_history_replay,10,moderate_asymmetric,0.02067030600641081,0.006825206625879251,0.03299093502426584,2.0885416357347184,50
12,fixed_budget_history_replay,10,strong_premium_penalty,0.0359180850059205,0.020106416681537016,0.05082257252930116,3.6570932311315687,50
12,fixed_budget_history_replay,10,zero,0.0,0.0,0.0,0.0,50
12,fixed_budget_history_replay,11,ai_appreciation,-0.01183493839286084,-0.022856808413174307,-0.00028849823675122826,-1.176518097226312,50
12,fixed_budget_history_replay,11,moderate_asymmetric,0.022867067937828695,0.007884200398304885,0.03662945356638496,2.3130523656601274,50
12,fixed_budget_history_replay,11,strong_premium_penalty,0.03855974928037778,0.021331404888048924,0.05373496193330847,3.9312824696222792,50
12,fixed_budget_history_replay,11,zero,0.0,0.0,0.0,0.0,50
12,fixed_budget_history_replay,12,ai_appreciation,-0.012661517188809746,-0.025642752509085043,-0.00028807245245788393,-1.258169741501158,50
12,fixed_budget_history_replay,12,moderate_asymmetric,0.024658653143305224,0.007559831930695924,0.03976583739719896,2.496519215778795,50
12,fixed_budget_history_replay,12,strong_premium_penalty,0.04093769855997754,0.02291761322733715,0.056063736159667525,4.178719868093019,50
12,fixed_budget_history_replay,12,zero,0.0,0.0,0.0,0.0,50
24,event_online,1,ai_appreciation,0.0,0.0,0.0,0.0,50
24,event_online,1,moderate_asymmetric,0.0,0.0,0.0,0.0,50
24,event_online,1,strong_premium_penalty,0.0,0.0,0.0,0.0,50
24,event_online,1,zero,0.0,0.0,0.0,0.0,50
24,event_online,2,ai_appreciation,-0.0016117241917752744,-0.003751383653906424,0.0002105485303810927,-0.16104260618428956,50
24,event_online,2,moderate_asymmetric,0.004318969297924396,0.001987902867697499,0.007112001621448821,0.43283094876457806,50
24,event_online,2,strong_premium_penalty,0.0070701411595263065,0.004669343789473037,0.00909903592263853,0.7095193614195411,50
24,event_online,2,zero,0.0,0.0,0.0,0.0,50
24,event_online,3,ai_appreciation,-0.0030126835373160887,-0.005981790004929528,-0.00016194314627753217,-0.3008149960155275,50
24,event_online,3,moderate_asymmetric,0.008579467718672,0.005671853027448315,0.0123250806041564,0.8616376829839921,50
24,event_online,3,strong_premium_penalty,0.013883511066081919,0.00905644552409496,0.019461585946494213,1.3980334570347066,50
24,event_online,3,zero,0.0,0.0,0.0,0.0,50
24,event_online,4,ai_appreciation,-0.005157027624330995,-0.008966773228016598,-0.0007196056227043996,-0.5143752986400016,50
24,event_online,4,moderate_asymmetric,0.011676120060959179,0.006737441073308873,0.0174566899126225,1.1744552031412838,50
24,event_online,4,strong_premium_penalty,0.019217231070942798,0.012053846484665027,0.02731129204093929,1.9403070587417526,50
24,event_online,4,zero,0.0,0.0,0.0,0.0,50
24,event_online,5,ai_appreciation,-0.007630607147054905,-0.012949630174613746,-0.0026405009272172887,-0.7601567973457622,50
24,event_online,5,moderate_asymmetric,0.015046286563409693,0.00790068421203973,0.02227377032385768,1.516005179838154,50
24,event_online,5,strong_premium_penalty,0.024665369138110474,0.015032489008343508,0.03293809706834046,2.497207584180941,50
24,event_online,5,zero,0.0,0.0,0.0,0.0,50
24,event_online,6,ai_appreciation,-0.009436913487333283,-0.015268057971490853,-0.003148076815178389,-0.9392525557337248,50
24,event_online,6,moderate_asymmetric,0.018428627367215736,0.009755077219185102,0.027661160348006985,1.859948244829861,50
24,event_online,6,strong_premium_penalty,0.03058565480315148,0.018924080175625396,0.040079552739568855,3.105820135385781,50
24,event_online,6,zero,0.0,0.0,0.0,0.0,50
24,event_online,7,ai_appreciation,-0.011713330257974199,-0.019455148329405127,-0.0037273690132385994,-1.1644996271520582,50
24,event_online,7,moderate_asymmetric,0.02262447060475762,0.010675442619831008,0.03345919119137426,2.288234502513281,50
24,event_online,7,strong_premium_penalty,0.03728027217628441,0.023425929042537274,0.048404313691279954,3.798389807991722,50
24,event_online,7,zero,0.0,0.0,0.0,0.0,50
24,event_online,8,ai_appreciation,-0.013222521013495594,-0.02195991867477503,-0.004100584616739159,-1.3135487505622798,50
24,event_online,8,moderate_asymmetric,0.025649830461072973,0.011672753370800119,0.037057447567193744,2.5981618053688664,50
24,event_online,8,strong_premium_penalty,0.043318821621474726,0.02770631040722844,0.05517428130703364,4.427077788530249,50
24,event_online,8,zero,0.0,0.0,0.0,0.0,50
24,event_online,9,ai_appreciation,-0.014203498947082435,-0.02410450298198684,-0.0031877623107817677,-1.4103105132453386,50
24,event_online,9,moderate_asymmetric,0.028536652526132453,0.01279661095403314,0.042172197799203635,2.89477236767152,50
24,event_online,9,strong_premium_penalty,0.04968024653289639,0.03315759726980479,0.06283867617744723,5.093500253454112,50
24,event_online,9,zero,0.0,0.0,0.0,0.0,50
24,event_online,10,ai_appreciation,-0.016092403463108515,-0.02686105699423402,-0.00690046089874135,-1.5963612515920749,50
24,event_online,10,moderate_asymmetric,0.031612844857345855,0.013471895424395308,0.04559683890892228,3.211783821463597,50
24,event_online,10,strong_premium_penalty,0.055287484030921305,0.037208291353869556,0.06869443203540695,5.6844396894409455,50
24,event_online,10,zero,0.0,0.0,0.0,0.0,50
24,event_online,11,ai_appreciation,-0.017514932014092897,-0.028153070372683754,-0.00675766126433183,-1.7362437202410204,50
24,event_online,11,moderate_asymmetric,0.03407742894305925,0.015622634307532,0.04693795957126215,3.466471662209441,50
24,event_online,11,strong_premium_penalty,0.060141522467120234,0.0418949144531831,0.07520357966207823,6.198683090716115,50
24,event_online,11,zero,0.0,0.0,0.0,0.0,50
24,event_online,12,ai_appreciation,-0.018297097176994122,-0.03063849126678555,-0.005731959689005982,-1.8130721569986317,50
24,event_online,12,moderate_asymmetric,0.03661869755019886,0.019829265213924505,0.05094467909982392,3.729742137348552,50
24,event_online,12,strong_premium_penalty,0.0650222121555913,0.04561574957602562,0.08131292693433496,6.718272854974224,50
24,event_online,12,zero,0.0,0.0,0.0,0.0,50
24,event_online,13,ai_appreciation,-0.01910015107198207,-0.03310058083110616,-0.006481530265438966,-1.8918899001562683,50
24,event_online,13,moderate_asymmetric,0.03894332656329384,0.021557087114939727,0.05330721222371112,3.9711557953240404,50
24,event_online,13,strong_premium_penalty,0.0702639939467222,0.05045689269620123,0.08837809237935243,7.279135429821777,50
24,event_online,13,zero,0.0,0.0,0.0,0.0,50
24,event_online,14,ai_appreciation,-0.020150497805618478,-0.03427299792783515,-0.007238770314231979,-1.994883334265557,50
24,event_online,14,moderate_asymmetric,0.0414079546575108,0.02294276265629934,0.05644283367716114,4.227722067232636,50
24,event_online,14,strong_premium_penalty,0.07505071135895122,0.05354914423038756,0.09300063972391864,7.793881324070434,50
24,event_online,14,zero,0.0,0.0,0.0,0.0,50
24,event_online,15,ai_appreciation,-0.021466033942769167,-0.036490658407138866,-0.007853916167905903,-2.1237278384824108,50
24,event_online,15,moderate_asymmetric,0.04350711739380071,0.02164605923008152,0.05942816560065295,4.44674281715696,50
24,event_online,15,strong_premium_penalty,0.08010287411135865,0.05719343938825716,0.10126624132836362,8.339851560184687,50
24,event_online,15,zero,0.0,0.0,0.0,0.0,50
24,event_online,16,ai_appreciation,-0.022484353573675387,-0.038638613885070214,-0.008445040945633307,-2.2233464374284506,50
24,event_online,16,moderate_asymmetric,0.045657671322207175,0.02194940103120727,0.06194135500016785,4.671602870404485,50
