seed,objective,max_standardized_mean_difference,max_theme_TV,max_model_exposure_deviation,MostPop_HA_gap,BPR_HA_gap,LightGCN_HA_gap
20272042,0.607085747157516,0.027743863317482104,0.040002671296914656,0.17311262563155394,0.28490601534223786,0.057226067176296636,0.05949733972468248
20272157,0.6120390014023973,0.02267324255693811,0.03589411407151361,0.1785081959127296,0.026946591701613107,-0.0382843245584024,-0.006762214245015902
20271949,0.6129290000539465,0.02413136624981095,0.03642444901156439,0.17805365342892965,0.13090571263104547,0.026388319707893237,-0.07991111298610172
20272175,0.6160944985218398,0.01786057769289917,0.03572859623347136,0.18154700882624453,0.32760934628186816,0.0022543150968311063,-0.0022899577386617845
20272152,0.6182532634576674,0.018895014665137128,0.03439294777614531,0.18258960904277077,0.2167239619961458,0.023981288930260615,0.0005258882685780711
20271923,0.618664421158514,0.026310057211492544,0.03466007746761052,0.18012141591520192,-0.15078919263728494,0.007533774379399396,-0.008727137300216589
20271995,0.6218890100396239,0.017628922068771397,0.04029926998673048,0.18127039433025227,-0.2193443646770763,-0.015559235070752592,0.012351523682409956
20272013,0.6269736900744199,0.016983622434883744,0.035690118854874324,0.18548496311907492,-0.29304266894354203,0.045154412443029514,0.009143082959231797
20272100,0.6287717509139761,0.01642857863446634,0.03168645574421373,0.18827116288772971,-0.30910133040354043,0.0048861900254747485,-0.0001839050432492325
20272080,0.6301024117104181,0.013177633125240597,0.0333912114331508,0.18894598714515043,0.06942706073333016,-0.016238127675391758,0.0015876308399487983
20271934,0.633053416477432,0.019353998879903925,0.03272338720448778,0.18820477893026544,-0.14898066482709652,-0.0882240055051192,-0.0019484360632931134
20272138,0.6336126421474985,0.01424406124042751,0.03679711499933218,0.18805763613602422,-0.09139256604031884,-0.044761894642566614,-0.02300732676255892
20272003,0.6359403991987023,0.012590010164777385,0.037763544735192646,0.18890169064371198,-0.3220403416904634,-0.13462957295572126,-0.046413530248316445
20271762,0.6377562177676241,0.021847343743372993,0.03829584635627742,0.186155034829945,0.32440658613585716,-0.048836137039585795,-0.02100183269581855
20272184,0.6394307235061621,0.012529390893866676,0.031053826632830243,0.19344019755435005,-0.2781959292149613,0.03440506860241467,0.023303525759897976
20271737,0.6492772698654647,0.019782061890644066,0.03269114879815051,0.19348616159253162,0.22365245931889657,-0.05104814378843951,-0.03596903124001925
20271810,0.6504748047897717,0.016115512277788235,0.02961508573681304,0.19664555463558797,-0.27826697244330634,-0.032270537406715406,-0.016550544659081602
20272085,0.6533305214412503,0.02014898611239395,0.03549120311600764,0.19331491021828162,0.2923365710199002,-0.021688034161539103,-0.02881832226989732
20271848,0.6533721760487184,0.016438211034064468,0.037558581786615995,0.19353203077824332,0.2231804880098249,-0.007918861793952962,0.024441951514245636
20271908,0.6538971577596238,0.027416244649235075,0.03192199813009216,0.19286597197175015,-0.07597844636293384,-0.0034928164329517523,0.004677707381390661
20271971,0.6571470742959059,0.01913913070183386,0.03462353555288822,0.19535754675491324,-0.0013064297677512684,-0.04792978495988679,0.03081433103779013
20271885,0.6576816587700046,0.013622125137805918,0.03299051689595298,0.1981912527627564,0.2965552557387592,-0.059917145806232,0.030614871901320093
20271797,0.6704911663387753,0.020011990884759384,0.033524776278883395,0.20006400367856358,-0.3371396025118179,-0.02061643751608768,0.012727452084286038
20271847,0.6805634928748756,0.02374093556961874,0.034025240857107245,0.20192823200653198,-0.23278309621705962,0.06454239472482771,0.004459277172219207
20272061,0.6865493615553591,0.011918780754809254,0.030319219981300917,0.20971725027619947,-0.10607174728074983,0.030375875933019332,0.027886834519542096
20271731,0.6929004218875641,0.018091860641423416,0.03602821406854799,0.2069220800477729,0.33292026292956023,0.0053206159389153395,-0.009692614642835414
20271966,0.6935558633894616,0.017973311257377757,0.032589822358755176,0.20889927286465038,-0.3444490311945149,-0.02149571364929952,0.0007569215915087848
20272145,0.694204824576825,0.024777319936301796,0.027413856806444474,0.20943557314361883,-0.2940817716689035,0.020628593690689926,0.02928611237438571
20272002,0.6950253277616719,0.016390602208179908,0.03292373447308668,0.209749707947954,0.1314268315294541,0.0006098379035601103,-0.043516538372529084
20271950,0.7019905377801168,0.013127195104734049,0.03860024041672231,0.2103209940167664,0.3560401253184902,0.016595036164188583,0.07096084588513499
20272018,0.7055194839358226,0.014677947763800773,0.03656295508764998,0.21199903451351565,0.013969246944650784,0.04083462615034571,0.022226427009727455
20271800,0.710047522657371,0.022457759260402277,0.03462183644750512,0.21188566957523702,-0.31522383529631315,0.07902682928095667,0.02044463954260475
20271936,0.7116972770990114,0.025570804921658134,0.03616873588120355,0.210624456118516,-0.07458436631344431,0.028576181205137545,-0.009825043771574563
20272191,0.7162419474038417,0.02254530684950961,0.03869507814658374,0.21188467444481884,0.2949870956767711,0.050094740023968236,-0.021074932999547217
20271889,0.7206871176530358,0.026595645949735056,0.035622752225170265,0.21355244778851512,-0.3807129559244912,0.04417179648864473,0.02845182940680441
