seed,objective,max_standardized_mean_difference,max_theme_TV,max_model_exposure_deviation,MostPop_HA_gap,BPR_HA_gap
20332211,0.4096319594043424,0.01731535989592914,0.03744510978043913,0.11204964494591818,0.036172574592573135,0.09498942962651175
20332044,0.40967291887202395,0.024343454736070247,0.0390019003984686,0.10894220451275027,0.12603314313845843,0.17176789384763033
20331967,0.4180045532865149,0.01292445749407238,0.035408193671733666,0.11732260176161402,-0.20481947575218867,0.0061008677849304525
20331745,0.4216290944167371,0.014891217310958393,0.033975516952682534,0.11859153389225163,0.06530179432787443,-0.09106815970349592
20332111,0.4488721695313608,0.021353578752266754,0.04015968063872256,0.1224263566070034,0.13385917639323533,0.031624669359140156
20331887,0.45694328341349166,0.025772580891616888,0.03452949123308548,0.12645882189074886,0.2375572343600107,0.09801563402518855
20331896,0.4592766300158687,0.021182766447447623,0.03904191616766467,0.12651032977230803,0.08126983407885381,0.21416590043038833
20332023,0.4638695092327571,0.020080821302323488,0.0401142469969848,0.12787243914498547,-0.13732393646619412,0.022397410551738453
20332196,0.46831624354110346,0.019871845976526775,0.03812043165784032,0.13042125002593874,0.175440548369489,-0.028260673369193558
20332001,0.4733486240503533,0.019876225590833255,0.0396806387225549,0.13131714679189588,-0.22703603307733036,0.06174402501629788
20331953,0.4752627472725684,0.01785131895194679,0.03613262697023324,0.13440416262175725,0.04390918948536728,-0.025643834320757838
20331816,0.4810136696266969,0.0209343985786742,0.03217564870259481,0.13727193266471016,-0.09283433290744902,0.16764561380809911
20331787,0.4920752020967415,0.024705594887557643,0.04291796416746581,0.13433088698599505,-0.06881223552950612,-0.09816855891133862
20331980,0.49999782218093103,0.024976590271551892,0.033612774451097796,0.14153402341091081,-0.08984861325260796,-0.2410986128355394
20331807,0.5045387965985569,0.024511731902626427,0.034491017964071856,0.14276351258327424,0.16135167185700755,-0.032093122534003704
20332203,0.5046187175108476,0.026148711490424102,0.04323434880199685,0.13787282760580943,-0.03895244226608549,-0.240261634481203
20332097,0.504987738773807,0.03791302587165831,0.039121756487025955,0.1361306927238699,-0.11696378660341356,-0.09706499739331848
20332148,0.5058892044143947,0.021765358626215744,0.041867776501921916,0.14044072701176535,-0.07002106098124826,0.15636482675611982
20332125,0.5178495761859042,0.017111744887449265,0.039164870004522324,0.14733017543055715,0.10957268842504377,0.1380562298266204
20332156,0.5185322303276143,0.016832045978177928,0.03245692552305575,0.15100493202161758,0.23604299647126012,-0.011646484913953765
20332207,0.520377913649579,0.0287315635632518,0.040958083832335325,0.14340307477927472,0.21363062985336206,-0.14895511936447692
20331770,0.5266044880831795,0.017594934871531364,0.035569066242415376,0.15188531794934168,-0.2337683169801527,0.18707329166866668
20331741,0.5295210996909604,0.020207993100561445,0.03305389221556885,0.15324408942234857,-0.22804576462600637,-0.10517696194742529
20332154,0.5404146220856986,0.013789861633109225,0.038722554890219564,0.15618030937242,-0.23524467248218275,0.021699194645701605
20332075,0.5411803193773406,0.03392725057548262,0.033490502628783635,0.15233910495289416,-0.26971616370023954,-0.004901651076658263
20332168,0.5423302586199984,0.016295790328089057,0.039240216676657856,0.15572471442564084,0.2870709794549319,0.14888529253136715
20331783,0.5480167436896669,0.025603268627265426,0.03481037924151696,0.156732635400042,0.05038578735891774,0.15390226122543563
20332112,0.5483504875384364,0.025213934798575456,0.039636052818520714,0.15456082450402664,0.1884619472413292,0.0764370602813507
20331724,0.5653977102945836,0.01844173970790755,0.03428657932418733,0.1651753672001317,0.056954946658977705,0.18376581584582002
20332166,0.5674780945828033,0.013660072103488744,0.039999999999999994,0.16460600749310483,-0.05210099444900241,-0.11801873255581367
20331934,0.5813334003677122,0.018251832539643034,0.03920159680638723,0.1680930575394961,0.2643495277302857,0.04006591323997432
20332210,0.5961652488581605,0.018600364946258156,0.04095808383233534,0.17204258605446643,-0.016871877426640796,-0.0953865558435725
20332206,0.6028996002196325,0.020333740057404747,0.04092044555308989,0.17372839727753098,-0.20249910859831902,-0.03235933438591658
20332202,0.6030651567659078,0.011074647196256974,0.03904191616766468,0.1778092117727179,0.3100106303170208,0.15510326378668382
20332073,0.6170477488432888,0.015520564893273355,0.0372542158219088,0.18188195340571744,-0.3165728673428032,-0.31723686444196575
20332107,0.6243312607500736,0.026106908676594036,0.03867367293195822,0.18007128089184743,-0.17583666727542155,-0.10995612627772972
20331735,0.6289249553523685,0.01585241499658958,0.04243247816995739,0.1831412743669476,-0.18822207884578873,-0.006083139452455074
20331899,0.6296195225233934,0.025316995942721434,0.042507314924677235,0.18018051806455204,0.35869095535360357,0.02083593900173946
20331751,0.6299761932974765,0.016340758667679835,0.03457085828343313,0.18725971573488231,0.29641739072898493,-0.02112537296606257
20331834,0.6598593744984649,0.010100605868813964,0.03141849782791117,0.20087700729592806,0.23022193195396048,0.2281966793661887
20331838,0.6602912859354819,0.016535468411687848,0.03484864216959663,0.19716095142313306,-0.004367334040980581,-0.17435383647860717
20331793,0.6614144036193189,0.020509305515765245,0.03508180190791975,0.19609413174722468,0.2386988076455323,-0.06791592260912063
20331941,0.6627834589169084,0.016260259022883833,0.04646706586826348,0.19227420036387644,0.2781279827276686,0.07206838505455224
20332212,0.6722961108251058,0.02284362472443621,0.03964043810829562,0.1966639429794087,0.2466459317484215,0.15865956316630786
20331839,0.6747610069513579,0.024277688226786092,0.03428886757859023,0.19968333911889546,-0.36362055624481865,-0.19479050898092792
20331866,0.6761428746281622,0.020519996904997312,0.040399201596806406,0.19834135844265177,-0.08342625166917496,0.05550547610418068
20331864,0.6765334602185286,0.022584530491457356,0.04059481229143184,0.19768557042997448,-0.22512972502048023,-0.07481210317329012
20332055,0.6784133032029706,0.017653213963513284,0.036127419438625546,0.20218965336050632,0.0022290764500670513,0.046179603461902564
20332157,0.679807328792166,0.01857190163547235,0.03764172118799285,0.20159094845823478,0.007342795033132255,0.04874751978687262
20331778,0.6838019123332679,0.015538566443248091,0.03507917583322897,0.20521486071339212,-0.1674570635856148,0.02222447929119416
20331748,0.6873376222972288,0.019354848162716314,0.03900314969613704,0.20315934986343565,0.335752372556265,0.17056334914898216
20332192,0.6887809324359847,0.04128781181877042,0.03992015968063873,0.19587096036541873,-0.05235796351841492,-0.15164610243388443
20331832,0.6936418741507318,0.018474837632338002,0.03635442829812193,0.2068784646904036,-0.38295937641444155,0.2116539781135902
20332164,0.6939471182915653,0.014821714801823736,0.04419591919466194,0.20427717489924957,0.22232648759329743,-0.039074730354756095
20332160,0.6939553154529559,0.024118665914997083,0.037325661625814306,0.20461605236641245,0.3585208782569865,0.2108315960625114
20331803,0.6993490605374931,0.018444083305472703,0.041756487025948114,0.20609008223103276,-0.4046470506368025,-0.14693403544408828
20331791,0.706615402135861,0.0287604911543835,0.03600798403193613,0.20794764497785778,0.126934578753485,-0.0791382799578662
20331786,0.7078189830479439,0.015338134104701182,0.03859905926610774,0.2115274200146937,-0.3527259596886517,-0.11872049766032684
20331999,0.7139558898022553,0.03429687089870562,0.03828713003499627,0.2074094412836851,0.030998007495278684,-0.037623587258399024
20332017,0.7145114056644,0.018320050671177562,0.04060118625912792,0.21176319186817683,0.03889986237493206,0.390898458238539
20331911,0.714711522264059,0.01860246470689115,0.03592814371257485,0.2140722806627685,-0.399562772301986,0.014551565757474464
20331836,0.7207206842105585,0.033213754278002064,0.03940493912382804,0.20946650708227144,-0.17948482047993913,-0.14204414178831531
20331773,0.7264699688268549,0.016962860190464855,0.04243036201268229,0.2152871885391222,0.31161954300204586,-0.07680579064484817
20331800,0.7282484997639656,0.01881052995708369,0.04459499331211439,0.21418182661290341,0.21664950551723652,-0.11048850778080586
20332214,0.7295966748579981,0.01791639426931156,0.04411215251119987,0.21517068394062888,0.07005632122409847,0.3007085101936006
20332034,0.7314283515196911,0.03083315001747717,0.03632734530938124,0.21536806117938068,-0.2639206546775553,-0.21677071177536988
20331824,0.7333021479409275,0.024314327822149238,0.03676421705527155,0.2179471648452903,0.3457217667832977,0.37357163496747053
20331827,0.7350897835045898,0.01687287293484235,0.033293413173652704,0.22275893026975613,0.052421328931654736,-0.0363398998669946
20331819,0.7351773531072754,0.011025134954262966,0.039869728848227245,0.2214492082935572,-0.08041527469765915,-0.00225234671325428
20331871,0.741327820785523,0.021545334611029532,0.03548441995141124,0.2221852854157922,0.12731174917349763,0.061522047438435604
20332158,0.741948684078072,0.015187958078492037,0.040798403193612776,0.22185437373638695,0.35327558112818597,0.21663713972002518
20332007,0.7475413331180798,0.02487119944562704,0.03385229540918164,0.22396389685289342,0.1399150019750041,0.3670247751690346
20332193,0.7475896128068498,0.03576462344829819,0.03552894211576847,0.2195105253949663,0.31784098828227736,-0.01097461302552169
20332036,0.7519090694145142,0.02142415405563568,0.036453728340859394,0.22526810761586313,-0.29383658532280843,-0.016557564099077136
20332177,0.7535237050519358,0.022809771551984256,0.03899820349720486,0.22407220941804806,-0.2883936886616276,0.1195200043623965
20332151,0.7571923810163844,0.022892811453812868,0.03536926147704592,0.2270818924490009,-0.3682164058026233,0.10980673443148417
20331963,0.7611491304411622,0.017816023188315513,0.03269670143984743,0.23142935169769185,-0.2889279365306971,-0.030034642373291072
20331990,0.7622488834155963,0.011713461217401158,0.034052221279937324,0.23315236342609635,-0.29234090305640664,0.08677348798031156
20332169,0.7642147436678239,0.019337038552854922,0.03784431137724551,0.2293704126830336,-0.204993797724824,-0.3835240524043783
20331759,0.7679854239490616,0.011745350534125183,0.040044560408163385,0.23205774426756376,-0.14507394186213526,-0.012526747427518478
20331746,0.7753190321018963,0.02954459035602623,0.030772228495268776,0.23320536633432232,-0.47061655189989193,-0.08183491041614653
20331796,0.7781613869795255,0.013824382265527999,0.04522808765352895,0.23216495774456802,0.01653544946476394,-0.0117919729567703
20332010,0.7801527699511154,0.026206776549889784,0.034290601297803563,0.23417003048484009,0.4270622022912338,0.38181672385256227
20332138,0.7825889352508383,0.021550039460955704,0.0375249500998004,0.23491715688006065,0.0393352046444794,0.18408240088580052
20331895,0.7871929391306736,0.01819146293680826,0.03960079840319361,0.2365334261963583,0.33565442207362073,0.005520813594128063
20332117,0.7878741675008789,0.014658278223847115,0.04379084717360744,0.2358432061722069,-0.3278339775994037,-0.18788465194830928
20332109,0.7929368151321187,0.014802856539069417,0.03939546103386393,0.23968025568075113,-0.015246034295530531,0.1830616791358471
20332015,0.7983355593473087,0.015075926479869117,0.040832873610913256,0.2406701074836899,0.4867218088512127,0.15184725240859
20331898,0.7992274090148458,0.015944716868489153,0.033575015066466145,0.24430672318221913,0.2700065836453179,0.12578891172754764
20331960,0.8041322672318296,0.01819902029556897,0.04375249500998002,0.24010150147376352,-0.29533344295679315,-0.21996163610961783
20331861,0.8071637289568385,0.014567239314035849,0.043113772455089815,0.2426419436533893,0.05331705311015546,-0.025384180514904858
20332083,0.809682874693298,0.0086625747248007,0.03565445828763997,0.24917953751234578,0.40406151600280227,-0.3602832147833853
20332194,0.8104866206967891,0.029958567126238303,0.042116278380489536,0.2391178786666055,-0.31840945739832754,-0.2070169198366637
